location,indicator,subject,measure,frequency,time,value,flag_codes,country
CAN,LIFEEXP,TOT,YR,A,2016,82,NA,Canada
CAN,LIFEEXP,TOT,YR,A,2017,82,NA,Canada
CAN,LIFEEXP,TOT,YR,A,2018,82,NA,Canada
FRA,LIFEEXP,TOT,YR,A,2016,82.7,NA,France
FRA,LIFEEXP,TOT,YR,A,2017,82.7,NA,France
FRA,LIFEEXP,TOT,YR,A,2018,82.8,NA,France
DEU,LIFEEXP,TOT,YR,A,2016,81.1,NA,Germany
DEU,LIFEEXP,TOT,YR,A,2017,81.1,NA,Germany
DEU,LIFEEXP,TOT,YR,A,2018,81,NA,Germany
ITA,LIFEEXP,TOT,YR,A,2016,83.3,NA,Italy
ITA,LIFEEXP,TOT,YR,A,2017,83,NA,Italy
ITA,LIFEEXP,TOT,YR,A,2018,83.4,NA,Italy
JPN,LIFEEXP,TOT,YR,A,2016,84.1,NA,Japan
JPN,LIFEEXP,TOT,YR,A,2017,84.2,NA,Japan
GBR,LIFEEXP,TOT,YR,A,2016,81.2,NA,United Kingdom
GBR,LIFEEXP,TOT,YR,A,2017,81.3,NA,United Kingdom
GBR,LIFEEXP,TOT,YR,A,2018,81.3,NA,United Kingdom
USA,LIFEEXP,TOT,YR,A,2016,78.7,NA,Usa
USA,LIFEEXP,TOT,YR,A,2017,78.6,NA,Usa
USA,LIFEEXP,TOT,YR,A,2018,78.7,NA,Usa
